"store_code","zd_code","zd_name","zd_complete_name","org_code","org_name","org_complete_name","st_name"
"9682","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9683","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9684","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9685","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9686","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9687","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9688","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9689","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9690","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9691","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9692","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9693","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9694","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9901","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9902","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9903","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9904","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9905","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9907","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9908","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9909","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9911","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9914","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9918","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9919","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9920","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9923","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9924","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9941","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9952","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
"9958","7110",未使用コード,"7110 未使用コード","0071",調整総合,"0071 調整総合",
